problem,pq_type,name,instance,threads,batch,status,returncode,time_s,processed_nodes,ignored_nodes
max_clique,ciaranm,CiaranM solver,brock400_4,1,,ok,0,75.156329117,54440888,
max_clique,ciaranm,CiaranM solver,brock400_4,1,,ok,0,75.18480245,54440888,
max_clique,ciaranm,CiaranM solver,brock400_4,1,,ok,0,75.19368182,54440888,
max_clique,ciaranm,CiaranM solver,brock400_4,1,,ok,0,75.169601992,54440888,
max_clique,ciaranm,CiaranM solver,brock400_4,1,,ok,0,75.198433234,54440888,
max_clique,ciaranm,CiaranM solver,brock400_4,2,,ok,0,37.500348378,54665650,
max_clique,ciaranm,CiaranM solver,brock400_4,2,,ok,0,37.478697666,54660337,
max_clique,ciaranm,CiaranM solver,brock400_4,2,,ok,0,37.521700498,54730191,
max_clique,ciaranm,CiaranM solver,brock400_4,2,,ok,0,37.612487565,54608570,
max_clique,ciaranm,CiaranM solver,brock400_4,2,,ok,0,37.490407154,54683091,
max_clique,ciaranm,CiaranM solver,brock400_4,4,,ok,0,17.117896588,49129896,
max_clique,ciaranm,CiaranM solver,brock400_4,4,,ok,0,17.104813257,49008593,
max_clique,ciaranm,CiaranM solver,brock400_4,4,,ok,0,17.125463123,49064944,
max_clique,ciaranm,CiaranM solver,brock400_4,4,,ok,0,17.105114459,48979101,
max_clique,ciaranm,CiaranM solver,brock400_4,4,,ok,0,17.107080723,49052446,
max_clique,ciaranm,CiaranM solver,brock400_4,8,,ok,0,8.08600696,45907023,
max_clique,ciaranm,CiaranM solver,brock400_4,8,,ok,0,8.087241023,45923094,
max_clique,ciaranm,CiaranM solver,brock400_4,8,,ok,0,8.08579212,45910012,
max_clique,ciaranm,CiaranM solver,brock400_4,8,,ok,0,8.080715556,45726165,
max_clique,ciaranm,CiaranM solver,brock400_4,8,,ok,0,8.075770712,45831878,
max_clique,ciaranm,CiaranM solver,brock400_4,16,,ok,0,1.28293165,12879555,
max_clique,ciaranm,CiaranM solver,brock400_4,16,,ok,0,1.284745695,12884012,
max_clique,ciaranm,CiaranM solver,brock400_4,16,,ok,0,1.283156531,12880656,
max_clique,ciaranm,CiaranM solver,brock400_4,16,,ok,0,1.286019019,12882932,
max_clique,ciaranm,CiaranM solver,brock400_4,16,,ok,0,1.282113788,12869487,
max_clique,ciaranm,CiaranM solver,brock400_4,32,,ok,0,0.859468105,17857992,
max_clique,ciaranm,CiaranM solver,brock400_4,32,,ok,0,0.855439834,17792512,
max_clique,ciaranm,CiaranM solver,brock400_4,32,,ok,0,0.856033076,17846778,
max_clique,ciaranm,CiaranM solver,brock400_4,32,,ok,0,0.854917172,17818866,
max_clique,ciaranm,CiaranM solver,brock400_4,32,,ok,0,0.85796265,17862712,
max_clique,ciaranm,CiaranM solver,brock400_4,64,,ok,0,0.728597284,27900786,
max_clique,ciaranm,CiaranM solver,brock400_4,64,,ok,0,0.729062517,28008234,
max_clique,ciaranm,CiaranM solver,brock400_4,64,,ok,0,0.728460744,27998911,
max_clique,ciaranm,CiaranM solver,brock400_4,64,,ok,0,0.727576952,27901660,
max_clique,ciaranm,CiaranM solver,brock400_4,64,,ok,0,0.728527435,27940813,
max_clique,ciaranm,CiaranM solver,brock400_4,128,,ok,0,0.376939507,13898741,
max_clique,ciaranm,CiaranM solver,brock400_4,128,,ok,0,0.376585766,13879426,
max_clique,ciaranm,CiaranM solver,brock400_4,128,,ok,0,0.375640384,13878156,
max_clique,ciaranm,CiaranM solver,brock400_4,128,,ok,0,0.376119295,13864119,
max_clique,ciaranm,CiaranM solver,brock400_4,128,,ok,0,0.376295975,13885232,
max_clique,ciaranm,CiaranM solver,brock400_4,256,,ok,0,0.377498768,16162556,
max_clique,ciaranm,CiaranM solver,brock400_4,256,,ok,0,0.376983358,16205255,
max_clique,ciaranm,CiaranM solver,brock400_4,256,,ok,0,0.376749717,16261598,
max_clique,ciaranm,CiaranM solver,brock400_4,256,,ok,0,0.376978297,16346408,
max_clique,ciaranm,CiaranM solver,brock400_4,256,,ok,0,0.377789699,16341514,
max_clique,ciaranm,CiaranM solver,brock400_4,512,,ok,0,0.381743891,16205360,
max_clique,ciaranm,CiaranM solver,brock400_4,512,,ok,0,0.378375401,16198926,
max_clique,ciaranm,CiaranM solver,brock400_4,512,,ok,0,0.379639035,16259389,
max_clique,ciaranm,CiaranM solver,brock400_4,512,,ok,0,0.378172871,16287231,
max_clique,ciaranm,CiaranM solver,brock400_4,512,,ok,0,0.379582194,16249393,
